date,20000CE,20000PE,20100CE,20100PE,20200CE,20200PE,20300CE,20300PE,20400CE,20400PE,20500CE,20500PE,20600CE,20600PE,20700CE,20700PE,20800CE,20800PE,20900CE,20900PE,21000CE,21000PE,21100CE,21100PE,21200CE,21200PE,21300CE,21300PE,21400CE,21400PE,21500CE,21500PE,21600CE,21600PE,21700CE,21700PE,21800CE,21800PE,21900CE,21900PE,22000CE,22000PE,22100CE,22100PE,22200CE,22200PE,22300CE,22300PE,22400CE,22400PE,22500CE,22500PE,22600CE,22600PE,22700CE,22700PE,22800CE,22800PE,22900CE,22900PE,23000CE,23000PE,23100CE,23100PE,23200CE,23200PE,23300CE,23300PE,23400CE,23400PE,23500CE,23500PE,23600CE,23600PE,23700CE,23700PE,23800CE,23800PE,23900CE,23900PE,24000CE,24000PE
2020/09/25,899.85,330.0,,359.2,,410.25,,456.3,630.55,469.75,640.5,549.5,613.35,559.15,539.75,810.5,485.2,689.5,437.25,731.95,403.3,790.65,381.5,705.5,340.0,,293.15,900.0,284.1,948.4,240.0,1148.85,279.65,,145.35,,157.95,,152.8,,158.9,1490.0,97.8,,,,88.5,,,,85.0,,,,,,,,,,40.8,,,,,,,,,,34.0,,,,,,,,,,25.0,
2020/09/28,1323.5,146.4,1350.0,150.0,,170.05,,192.5,957.7,230.95,850.0,260.25,808.8,278.75,813.6,338.05,650.0,346.55,614.3,400.0,537.65,444.6,475.0,471.15,423.4,505.0,383.15,559.15,341.6,540.0,307.2,670.0,273.05,530.4,236.6,518.25,184.55,540.0,183.5,,155.0,911.0,134.45,,123.65,,104.75,,139.75,,70.5,1105.45,100.0,,80.05,,107.5,,,,31.4,,55.85,,,,,,42.5,,18.95,,,,,,,,,,13.35,
2020/09/29,1450.0,41.7,,77.15,,60.7,,46.4,,62.6,1340.0,83.95,1085.15,92.65,870.0,105.0,885.45,120.0,696.55,134.75,930.7,158.75,733.7,201.8,824.95,215.0,753.65,256.55,669.95,283.4,580.25,316.25,535.4,366.95,480.0,412.45,432.85,455.65,389.45,499.0,334.9,563.1,280.9,790.55,284.9,640.0,220.05,,198.5,,163.1,890.0,143.25,,121.05,,95.05,,45.55,,71.15,1600.0,29.0,,,,,,45.0,,29.65,,19.45,,,,,,,,14.5,
2020/09/30,1300.0,67.0,1150.0,85.0,,93.6,,109.1,1016.85,127.95,893.35,132.0,789.1,153.1,700.0,179.65,626.05,207.45,529.8,236.25,570.85,272.85,515.0,316.3,436.75,357.45,401.25,405.1,350.2,451.15,300.9,507.85,263.0,588.05,226.15,650.0,199.9,715.0,165.5,843.0,139.85,838.3,117.0,985.6,109.9,760.55,82.95,1018.1,62.5,,57.25,1248.8,47.1,,39.35,,35.0,,30.3,,24.65,1775.4,25.45,,,,15.05,,14.75,,13.7,,11.05,,,,,,,,9.0,
2020/10/01,1899.95,24.0,2098.1,27.9,,27.85,,33.15,1662.1,37.6,1235.5,41.95,1300.0,49.95,1152.85,55.4,1047.35,64.6,953.6,71.2,867.65,92.0,750.4,110.45,700.0,130.35,645.1,157.15,551.55,189.95,487.45,221.95,428.95,255.3,373.0,306.7,314.8,355.55,268.75,395.4,225.75,459.3,190.6,485.0,159.3,583.3,129.8,538.8,104.7,645.9,87.85,811.55,71.65,675.0,56.85,926.2,46.6,905.45,42.05,752.5,36.15,1260.0,30.0,917.7,54.3,,30.05,1000.3,19.4,,22.3,1578.8,20.0,,20.6,,33.5,,22.6,,13.0,1950.0
2020/10/05,2613.4,9.55,,5.15,,10.3,2401.0,12.0,2390.35,12.0,2097.0,14.05,1950.35,15.5,1884.0,17.15,1643.1,19.45,1635.0,22.0,1517.0,25.0,1435.65,29.3,1296.7,34.9,1200.0,40.9,1109.1,49.85,1045.0,61.65,981.5,88.55,891.05,105.15,822.7,110.0,701.2,133.75,653.45,158.55,580.8,189.8,516.0,222.0,457.25,261.1,400.0,308.0,350.0,358.8,303.65,412.0,262.95,473.5,223.5,537.0,190.7,629.15,162.4,678.45,139.2,700.05,117.75,838.25,97.45,920.35,70.9,939.95,68.75,1107.8,58.7,980.0,47.7,1020.0,39.95,1172.0,34.7,1220.0,28.0,1581.55
2020/10/06,2750.0,3.95,,4.15,,4.4,,5.35,2223.4,5.2,2112.25,6.3,1942.5,6.9,1943.4,7.85,1807.55,8.7,1701.0,10.1,1777.95,11.1,1650.05,12.7,1500.0,13.9,1513.2,15.45,1408.55,17.7,1309.65,20.55,1209.45,24.45,1110.75,29.6,1015.65,36.5,938.05,46.05,849.85,58.15,759.85,72.95,675.15,90.75,601.45,112.7,525.05,139.1,460.0,171.05,400.25,208.4,342.75,253.0,291.2,301.9,242.95,354.55,199.5,413.0,163.35,470.15,132.6,539.1,107.15,627.6,85.45,750.0,66.7,782.75,52.75,867.65,41.35,1002.0,32.3,1065.6,25.3,1149.25,20.75,1340.0
2020/10/07,2653.15,3.15,2699.65,3.7,,3.3,,2.3,,3.8,2152.5,3.85,2295.2,4.1,2194.75,4.35,2095.9,5.0,1999.6,5.2,1752.0,6.25,1779.15,6.7,1450.0,7.65,1553.0,8.5,1290.0,10.2,1233.6,12.65,1247.95,15.5,1010.95,19.3,931.15,24.75,843.4,32.55,760.25,41.25,684.1,52.7,592.45,66.95,507.05,87.2,434.8,109.1,359.8,136.7,292.0,171.7,238.15,215.7,187.85,262.8,139.35,319.4,103.25,384.25,75.4,454.85,52.8,528.0,34.55,627.9,23.0,700.0,15.85,803.75,11.15,838.4,8.5,990.35,6.9,1025.05,5.75,1123.05,5.05,1294.45
2020/10/08,3249.0,0.55,3250.0,0.35,,0.35,2776.3,0.8,2863.7,0.3,2686.7,0.25,2769.0,0.9,2692.65,1.0,2644.1,1.4,2345.0,1.75,2142.05,0.7,2070.5,0.55,1974.6,0.95,1784.05,1.55,1750.0,1.0,1650.0,0.85,1545.0,0.9,1470.0,1.0,1320.0,1.0,1248.0,1.25,1149.95,1.45,1010.25,1.95,945.2,2.55,849.95,3.25,745.0,4.2,650.0,5.45,552.05,7.6,453.35,15.2,373.75,26.95,295.3,45.0,225.9,79.2,169.4,123.85,126.0,179.9,89.15,243.75,59.5,314.0,39.5,392.0,22.9,480.0,6.7,551.0,5.9,655.8,3.3,761.6,2.45,854.4
