BANKNIFTYWK19900CE,2020/09/25,09:18,890.5,890.5,890.5,890.5,50,450
BANKNIFTYWK19900CE,2020/09/25,09:19,881.65,890.85,881.65,890.85,100,450
BANKNIFTYWK19900CE,2020/09/25,09:20,891.7,891.7,891.7,891.7,75,525
BANKNIFTYWK19900CE,2020/09/25,09:21,875.5,893,875.5,891.8,475,525
BANKNIFTYWK19900CE,2020/09/25,09:22,879.15,895.85,879.15,886.85,275,525
BANKNIFTYWK19900CE,2020/09/25,09:23,881.65,881.65,874.1,874.1,100,675
BANKNIFTYWK19900CE,2020/09/25,09:24,869,878.8,869,869.7,100,675
BANKNIFTYWK19900CE,2020/09/25,09:25,879.5,879.5,843.45,855.4,100,675
BANKNIFTYWK19900CE,2020/09/25,09:26,855.4,855.4,839.65,839.65,75,525
BANKNIFTYWK19900CE,2020/09/25,09:29,829.5,829.5,829.5,829.5,25,500
BANKNIFTYWK19900CE,2020/09/25,09:31,815,815,815,815,25,500
BANKNIFTYWK19900CE,2020/09/25,09:33,835,835,835,835,25,475
BANKNIFTYWK19900CE,2020/09/25,09:34,862.1,862.1,862.1,862.1,50,475
BANKNIFTYWK19900CE,2020/09/25,09:39,849.7,849.7,849.7,849.7,25,500
BANKNIFTYWK19900CE,2020/09/25,09:41,850.7,850.7,850.7,850.7,25,500
BANKNIFTYWK19900CE,2020/09/25,09:44,825.65,825.65,825.65,825.65,25,500
BANKNIFTYWK19900CE,2020/09/25,09:49,825,825,825,825,25,475
BANKNIFTYWK19900CE,2020/09/25,10:01,801,801,801,801,25,500
BANKNIFTYWK19900CE,2020/09/25,10:16,755.95,755.95,755.95,755.95,25,525
BANKNIFTYWK19900CE,2020/09/25,10:17,750.8,750.8,748.55,748.55,50,575
BANKNIFTYWK19900CE,2020/09/25,10:20,722.4,722.4,716.45,716.45,50,575
BANKNIFTYWK19900CE,2020/09/25,10:23,748.45,748.45,748.45,748.45,25,600
BANKNIFTYWK19900CE,2020/09/25,10:26,750,750,750,750,25,625
BANKNIFTYWK19900CE,2020/09/25,10:30,801.45,821,801.45,821,575,625
BANKNIFTYWK19900CE,2020/09/25,10:31,822.8,822.8,800,800,200,625
BANKNIFTYWK19900CE,2020/09/25,10:32,815.5,815.5,815.5,815.5,25,625
BANKNIFTYWK19900CE,2020/09/25,10:33,795,802,795,802,50,1175
BANKNIFTYWK19900CE,2020/09/25,10:34,804.35,804.35,801.35,801.35,125,1175
BANKNIFTYWK19900CE,2020/09/25,10:35,801.35,812.2,801.25,805.85,150,1250
BANKNIFTYWK19900CE,2020/09/25,10:36,777.6,781.95,777.6,781.95,225,1250
BANKNIFTYWK19900CE,2020/09/25,10:37,781.95,788.55,773,773,550,1250
BANKNIFTYWK19900CE,2020/09/25,10:43,762.45,762.45,762.45,762.45,25,2025
BANKNIFTYWK19900CE,2020/09/25,10:44,764.9,764.9,751.15,753.65,125,2075
BANKNIFTYWK19900CE,2020/09/25,10:45,743.45,751.7,742.05,742.05,250,2075
BANKNIFTYWK19900CE,2020/09/25,10:46,755.65,755.65,755.65,755.65,25,2075
BANKNIFTYWK19900CE,2020/09/25,10:47,753.95,753.95,753.95,753.95,25,2075
BANKNIFTYWK19900CE,2020/09/25,10:48,756.55,756.55,756.55,756.55,200,2100
BANKNIFTYWK19900CE,2020/09/25,10:49,755.85,755.85,755.85,755.85,150,2100
BANKNIFTYWK19900CE,2020/09/25,10:57,754.95,754.95,754.95,754.95,25,1875
BANKNIFTYWK19900CE,2020/09/25,11:01,763.6,763.6,763.6,763.6,100,1900
BANKNIFTYWK19900CE,2020/09/25,11:02,769.25,769.25,769.25,769.25,25,1900
BANKNIFTYWK19900CE,2020/09/25,11:08,800.15,800.15,800.15,800.15,25,1925
BANKNIFTYWK19900CE,2020/09/25,11:09,799.75,799.75,799.75,799.75,25,1925
BANKNIFTYWK19900CE,2020/09/25,11:11,799,800.55,796.8,800.55,575,1950
BANKNIFTYWK19900CE,2020/09/25,11:12,799.5,820.4,799.5,819.95,600,1950
BANKNIFTYWK19900CE,2020/09/25,11:13,811.95,811.95,811.95,811.95,50,1950
BANKNIFTYWK19900CE,2020/09/25,11:14,816.65,816.65,816.65,816.65,25,1425
BANKNIFTYWK19900CE,2020/09/25,11:15,826.6,826.6,826.6,826.6,25,1425
BANKNIFTYWK19900CE,2020/09/25,11:16,799.95,799.95,793.15,793.15,200,1425
BANKNIFTYWK19900CE,2020/09/25,11:18,785.1,785.1,785.1,785.1,25,1375
BANKNIFTYWK19900CE,2020/09/25,11:24,807.5,807.5,807.5,807.5,50,1400
BANKNIFTYWK19900CE,2020/09/25,11:27,812.8,850.45,812.8,850.45,150,1350
BANKNIFTYWK19900CE,2020/09/25,11:28,860.3,860.3,849.1,849.1,125,1350
BANKNIFTYWK19900CE,2020/09/25,11:29,840,840,840,840,100,1350
BANKNIFTYWK19900CE,2020/09/25,11:30,823.3,823.3,823.3,823.3,50,1350
BANKNIFTYWK19900CE,2020/09/25,11:32,817.35,817.35,817.35,817.35,25,1350
BANKNIFTYWK19900CE,2020/09/25,11:33,825.6,825.6,825.6,825.6,25,1500
